role,name,team
student,Feng1231,CS2103-T00-1
student,damithc,CS2103-T00-2
student,bluesky0911,CS2103-T00-3
student,dillontkh,CS2103-T00-4
student,eric-vader,CS2103-T00-5
student,ganeshniyer,CS2103-T00-6
student,Jasperabez,CS2103-T00-1
student,Incogdino,CS2103-T00-2
student,jetlfj,CS2103-T00-3
student,woojiahao,CS2103-T00-4
student,jonasongg,CS2103-T00-5
student,xCOLOURx,CS2103-T00-6
student,euph00,CS2103-T00-1
student,LinkesV,CS2103-T00-2
student,HollaG,CS2103-T00-3
student,tayruxin,CS2103-T00-4
student,RyanNgWH,CS2103-T00-5
student,apollo-tan,CS2103-T00-6
student,sikai00,CS2103-T00-1
student,tim-pipi,CS2103-T00-2
student,TiwKangXu,CS2103-T00-3
student,tzerbin,CS2103-T00-4
student,waynezsy,CS2103-T00-5
student,wz2k,CS2103-T00-6
student,wendy0107,CS2103-T00-1
student,logical-1985516,CS2103-T00-2
student,yixiann,CS2103-T00-3
student,tanyyyming,CS2103-T00-4
student,yucongkoo,CS2103-T00-5
student,chengzihao123,CS2103-T00-6
student,Eclipse-Dominator,CS2103-T00-1
student,nknguyenhc,CS2103-T00-2
student,Arif-Khalid,CS2103-T00-3
student,wx-03,CS2103-T00-4
student,hollag,CS2103-T00-5
student,NorbertLoh,CS2103-T00-6
student,yucongkoo,CS2103-T00-1
student,IzN432,CS2103-T00-2
